district,year_2016,year_2019,FCAGR
Adilabad,10,6,-15.66
Bhadradri Kothagudem ,0,0,0
Hyderabad,163631,319300,24.96
Jagtial ,0,0,0
Jangaon ,2,0,-100
Jayashankar Bhoopalpally,86,45,-19.42
Jogulamba Gadwal ,45,295,87.16
Kamareddy ,0,0,0
Karimnagar ,0,0,0
Khammam,0,0,0
Komaram Bheem Asifabad,0,0,0
Mahabubabad ,0,0,0
Mahbubnagar,868,440,-20.27
Mancherial,0,10,0
Medak ,0,0,0
Nagarkurnool ,29,199,90.03
Nalgonda,0,0,0
Nirmal,0,0,0
Nizamabad,0,1,0
Peddapalli,0,0,0
Rajanna Sircilla ,0,0,0
Sangareddy ,0,0,0
Siddipet,0,0,0
Suryapet,0,0,0
Wanaparthy ,0,0,0
Warangal (Rural),0,0,0
Warangal (Urban),1899,2450,8.86
Yadadri Bhongir,0,0,0
