district,TDV,TFV
Adilabad,775895,6
"Bhadradri Kothagudem ",12817737,0
Hyderabad,13802362,319300
"Jagtial ",3086115,0
"Jangaon ",328890,0
"Jayashankar Bhoopalpally",662530,45
"Jogulamba Gadwal ",2007995,295
"Kamareddy ",534,0
"Karimnagar ",77491,0
Khammam,1413440,0
"Komaram Bheem Asifabad",19189,0
"Mahabubabad ",152885,0
Mahbubnagar,2534815,440
Mancherial,269810,10
"Medak ",5452570,0
Mulugu,1819800,575
"Nagarkurnool ",2093312,199
Nalgonda,140918,0
Narayanapet,389250,5
Nirmal,3816778,0
Nizamabad,46333,1
Peddapalli,16581,0
"Rajanna Sircilla ",16832897,0
"Sangareddy ",4553160,0
Siddipet,2987864,0
Suryapet,0,0
"Wanaparthy ",298639,0
"Warangal (Rural)",353500,0
"Warangal (Urban)",1795230,2450
"Yadadri Bhongir",4489374,0
